StreetName,Suburb,LATITUDE,LONGITUDE
ST ANDREWS PLACE,East Melbourne,-37.81196339,144.9755895
ST KILDA ROAD,Melbourne,-37.8471665,144.9798961
STURT STREET,Southbank,-37.82161734,144.9677447
SWANSTON STREET,Carlton,-37.79388184,144.9652719
THERRY STREET,Melbourne,-37.80759838,144.9585528
VICTORIA STREET,Melbourne,-37.80636844,144.9591446
VILLAGE STREET,Docklands,-37.81962949,144.9496549
WALSH STREET,West Melbourne,-37.80822551,144.9537333
WATERFRONT WAY,Docklands,-37.81270034,144.9387401
WATERVIEW WALK,Docklands,-37.82004243,144.9483317
WATTLE ROAD,Docklands,-37.81646084,144.9375485
WELLINGTON PARADE,East Melbourne,-37.81689535,144.9893146
WELLS STREET,Southbank,-37.82668293,144.9690875
WILLIAM STREET,West Melbourne,-37.80685729,144.9539849
WILLS STREET,Melbourne,-37.8109486,144.9572098
